ID,CategoryID,Title,Authors,ISBN,URL
"17746","12","Акварельное вдохновение","Элизабет Голдинг","","http://www.mann-ivanov-ferber.ru/books/akvarelnoe-vdohnovenie/"
"17776","11","Бизнесхак на каждый день","Игорь Манн, Ренат Шагабутдинов","","http://www.mann-ivanov-ferber.ru/books/biznesxak-na-kazhdyij-den/"
"18179","14","Длинное долгое путешествие","Ян Валь, Лоран Гапайар","","http://www.mann-ivanov-ferber.ru/books/dlinnoe-dolgoe-puteshestvie/"
"18175","14","Карл Мопс","Фабиола Нонн, Лукас Вейденбах, Жоэль Турлониас","","http://www.mann-ivanov-ferber.ru/books/karl-mops/"
"17801","14","Фермер Вилли и первый снег","Тед ван Лисхаут","","http://www.mann-ivanov-ferber.ru/books/fermer-villi-i-pervyij-sneg/"
"18142","14","Фермер Вилли едет на рынок","Тед ван Лисхаут","","http://www.mann-ivanov-ferber.ru/books/fermer-villi-edet-na-ryinok/"
"17912","12","Удивительные коллекции","Стив Макдональд","","http://www.mann-ivanov-ferber.ru/books/udivitelnyie-kollekczii/"
"17868","9","45 татуировок продавана","Максим Батырев (Комбат)","","http://www.mann-ivanov-ferber.ru/books/tatuirovki-prodavana/"
"17922","14","Животные в природе. Медведь","","","http://www.mann-ivanov-ferber.ru/books/zhivotnyie-v-prirode-medved/"
"17936","14","Животные в природе. Волк","","","http://www.mann-ivanov-ferber.ru/books/zhivotnyie-v-prirode-volk/"
"17769","11","Как разговаривать с мудаками","Марк Гоулстон","","http://www.mann-ivanov-ferber.ru/books/kak-razgovarivat-s-mudakami/"
"17983","12","Цветовой квест","Джоана Вебстер","","http://www.mann-ivanov-ferber.ru/books/czvetovoj-kvest/"
"18057","14","Маленький театр Ребекки","Ребекка Дотремер","","http://www.mann-ivanov-ferber.ru/books/malenkij-teatr-rebekki/"
"17918","14","Kumon. 3D поделки из бумаги. Кошка и собака","","","http://www.mann-ivanov-ferber.ru/books/children/kumon-3d-podelki-iz-bumagi-koshka-i-sobaka/"
"17920","14","Kumon. 3D поделки из бумаги. Тираннозавр и апатозавр ","","","http://www.mann-ivanov-ferber.ru/books/kumon-3d-podelki-iz-bumagi-tirannozavr-i-apatozavr/"
"17921","14","Kumon. 3D поделки из бумаги. Лев и мышь","","","http://www.mann-ivanov-ferber.ru/books/kumon-3d-podelki-iz-bumagi-lev-i-myish/"
"17804","14","Давай строить!","","","http://www.mann-ivanov-ferber.ru/books/davaj-stroit/"
"17919","14","Kumon. 3D поделки из бумаги. Трицератопс и птеранодон ","","","http://www.mann-ivanov-ferber.ru/books/kumon-3d-podelki-iz-bumagi-triczeratops-i-pteranodon/"
"18058","14","Возвращение","Аарон Бекер","","http://www.mann-ivanov-ferber.ru/books/vozvrashhenie/"
"18310","9","45 татуировок продавана. Подарочный комплект","Максим Батырев (Комбат)","","http://www.mann-ivanov-ferber.ru/books/45-tatuirovok-prodavana-podarochnyij-komplekt/"
"17896","14","Удивительное путешествие в мир животных","Брендан Кирни, Анна Клейбурн","","http://www.mann-ivanov-ferber.ru/books/udivitelnoe-puteshestvie-v-mir-zhivotnyix/"
"17914","14","Белый медведь","Дженни Десмонд","","http://www.mann-ivanov-ferber.ru/books/belyij-medved/"
"17915","14","Синий кит","Дженни Десмонд","","http://www.mann-ivanov-ferber.ru/books/sinij-kit/"
"17994","14","Дело о пропавшем кольце","Юлия Луговская, Люда Гаврилова, Анна Бабушкина","","http://www.mann-ivanov-ferber.ru/books/delo-o-propavshem-kolcze/"
"17622","15","Книга Нового года и Рождества. Наши дни","Галина Егоренкова, Олеся Гиевская, Наталия Нестерова","","http://www.mann-ivanov-ferber.ru/books/kniga-novogo-goda-i-rozhdestva/"
"17417","10","Как растут бренды","Байрон Шарп","","http://www.mann-ivanov-ferber.ru/books/kak-rastut-brendyi/"
"17672","11","Золотые правила","Боб Боуман, Чарльз Батлер","","http://www.mann-ivanov-ferber.ru/books/zolotyie-pravila/"
"17759","9","Лидер и племя","Дэйв Логан, Джон Кинг, Хэли Фишер-Райт","","http://www.mann-ivanov-ferber.ru/books/lider-i-plemya/"
"17923","12","Где Уорхол?","Кэтрин Ингрэм, Эндрю Рэй","","http://www.mann-ivanov-ferber.ru/books/gde-uorxol/"
"17924","12","О шрифте","Эрик Шпикерманн","","http://www.mann-ivanov-ferber.ru/books/o-shrifte/"
"17877","14","Метаморфозы","Фредерик Клеман","","http://www.mann-ivanov-ferber.ru/books/metamorfozyi/"
"17667","15","Глазами физика","Уолтер Левин, Уоррен Гольдштейн","","http://www.mann-ivanov-ferber.ru/books/glazami-fizika/"
"18035","14","Новогодняя","Юля Григорьева","","http://www.mann-ivanov-ferber.ru/books/novogodnyaya/"
"17682","12","Планинг для творческих людей. Необыкновенные путешествия","","","http://www.mann-ivanov-ferber.ru/books/planing-dlya-tvorcheskix-lyudej-neobyiknovennyie-puteshestviya/"
"17666","11","Книга Ленивого Гуру","Лоуренс Шортер","","http://www.mann-ivanov-ferber.ru/books/kniga-lenivogo-guru/"
