"ID","CategoryID","Title","Authors","ISBN","URL"
"20026","14","Остров Тайн","Хелен Фрил, Иэн Фрил","","https://www.mann-ivanov-ferber.ru/books/ostrov-tain/?buytab=paperbook&utm_source=ya.market&utm_medium=cpc&utm_campaign=market"
"21325","14","KUMON. Наука","","","https://www.mann-ivanov-ferber.ru/books/kumon-nauka/?buytab=paperbook&utm_source=ya.market&utm_medium=cpc&utm_campaign=market"
"20639","11","Бесстрашие","Тит Нат Хан","","https://www.mann-ivanov-ferber.ru/books/besstrashie/?buytab=paperbook&utm_source=ya.market&utm_medium=cpc&utm_campaign=market"
"21270","14","Мой гербарий. Цветы и травы","Анна Васильева, Светлана Винникова","","https://www.mann-ivanov-ferber.ru/books/moj-gerbarij/?buytab=paperbook&utm_source=ya.market&utm_medium=cpc&utm_campaign=market"
"21098","12","Акрил для начинающих","Дитмар Штиллер","","https://www.mann-ivanov-ferber.ru/books/akril-dlya-nachinayushhix/?buytab=paperbook&utm_source=ya.market&utm_medium=cpc&utm_campaign=market"
"21059","14","Целься!","","","https://www.mann-ivanov-ferber.ru/books/czelsya/?buytab=paperbook&utm_source=ya.market&utm_medium=cpc&utm_campaign=market"
"11448","9","И ботаники делают бизнес 1+2","Максим Котин","","https://www.mann-ivanov-ferber.ru/books/i_botaniki_delayut_biznes_2/?buytab=paperbook&utm_source=ya.market&utm_medium=cpc&utm_campaign=market"
"21321","28","Тайна ножа и часов","Хоуп Ларсон, Ребекка Мок","","https://www.mann-ivanov-ferber.ru/books/tajna-nozha-i-chasov/?buytab=paperbook&utm_source=ya.market&utm_medium=cpc&utm_campaign=market"
"21210","14","Маленькие балерины","Грейс Маккэрон, Кристина Давенье","","https://www.mann-ivanov-ferber.ru/books/malenkie-balerinyi/?buytab=paperbook&utm_source=ya.market&utm_medium=cpc&utm_campaign=market"
"20572","28","Дневник Анны Франк","Анна Франк, Ари Фольман, Дэвид Полонски","","https://www.mann-ivanov-ferber.ru/books/dnevnik-annyi-frank/?buytab=paperbook&utm_source=ya.market&utm_medium=cpc&utm_campaign=market"
